"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606b525ebb635c20b5d687"")","2021-03-28T11:41:06.000Z","u4/302/energy","[246078,246070,234.27,0.12,10,30,30,0.2]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",88,"prises1","modbus_rs485"
"ObjectId(""60606b525ebb635c20b5d688"")","2021-03-28T11:41:06.000Z","u4/302/energy","[7061178,7061170,234.1,0.78,110,150,180,0.61]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",65,"prises2","modbus_rs485"
"ObjectId(""60606b525ebb635c20b5d689"")","2021-03-28T11:41:06.000Z","u4/302/energy","[3090025,3090020,233.94,0.28,40,50,70,0.62]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",62,"prises3","modbus_rs485"
"ObjectId(""60606b535ebb635c20b5d68a"")","2021-03-28T11:41:07.000Z","irit2/366/energy","[533558,533550,234.3,0.09,10,20,20,0.53]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",61,"main","modbus_rs485"
"ObjectId(""60606b555ebb635c20b5d68b"")","2021-03-28T11:41:09.000Z","u4/campusfab/luminosity",249,"lux",,57,"auto_2C76"
"ObjectId(""60606b575ebb635c20b5d68c"")","2021-03-28T11:41:11.000Z","u4/300/luminosity",205,"lux",100,"ilot1","inside"
"ObjectId(""60606b575ebb635c20b5d68d"")","2021-03-28T11:41:11.000Z","u4/300/luminosity",299,"lux",105,"ilot2","inside"
"ObjectId(""60606b575ebb635c20b5d68e"")","2021-03-28T11:41:11.000Z","u4/300/luminosity",703,"lux",110,"ilot3","inside"
"ObjectId(""60606b585ebb635c20b5d68f"")","2021-03-28T11:41:12.000Z","bu/tour_8etg/luminosity",2281,"lux",,"57","auto_a13a"
"ObjectId(""60606b5a5ebb635c20b5d690"")","2021-03-28T11:41:14.000Z","bu/hall/luminosity",17,"lux",,"57","auto_4c24"
"ObjectId(""60606b5b5ebb635c20b5d691"")","2021-03-28T11:41:15.000Z","irit2/366/humidity",31,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b5c5ebb635c20b5d692"")","2021-03-28T11:41:16.000Z","irit2/366/temperature",20.77,"celsius",103,"ilot1","inside"
"ObjectId(""60606b5c5ebb635c20b5d693"")","2021-03-28T11:41:16.000Z","irit2/366/co2",357,"ppm",105,"ilot1","inside"
"ObjectId(""60606b5d5ebb635c20b5d694"")","2021-03-28T11:41:17.000Z","u4/301/luminosity",1000,"lux",100,"ilot1","inside"
"ObjectId(""60606b5d5ebb635c20b5d695"")","2021-03-28T11:41:17.000Z","u4/301/luminosity",412,"lux",105,"ilot2","inside"
"ObjectId(""60606b5d5ebb635c20b5d696"")","2021-03-28T11:41:17.000Z","u4/301/luminosity",718,"lux",110,"ilot3","inside"
"ObjectId(""60606b5d5ebb635c20b5d697"")","2021-03-28T11:41:17.000Z","irit2/366/temperature",24.25,"celsius",,"24","auto_adc7"
"ObjectId(""60606b5d5ebb635c20b5d698"")","2021-03-28T11:41:17.000Z","bu/hall/luminosity",58,"lux",,"57","auto_d771"
"ObjectId(""60606b5e5ebb635c20b5d699"")","2021-03-28T11:41:18.000Z","bu/068/luminosity",82,"lux",,"57","auto_55a9"
"ObjectId(""60606b5e5ebb635c20b5d69a"")","2021-03-28T11:41:18.000Z","u4/300/energy","[0.57,0,33860.33,31.84,31.73,0]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"heaters","modbus_rs485"
"ObjectId(""60606b5e5ebb635c20b5d69b"")","2021-03-28T11:41:18.000Z","u4/300/energy","[2700436,2700430,233.71,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",79,"lighting","modbus_rs485"
"ObjectId(""60606b5f5ebb635c20b5d69c"")","2021-03-28T11:41:19.000Z","irit2/160/luminosity",0,"lux",,"57","auto_1b73"
"ObjectId(""60606b615ebb635c20b5d69d"")","2021-03-28T11:41:21.000Z","irit2/366/luminosity",0,"lux",106,"ilot1","inside"
"ObjectId(""60606b625ebb635c20b5d69e"")","2021-03-28T11:41:22.000Z","irit2/460/temperature",21.83798,"celsius",,"64","auto_ea9c"
"ObjectId(""60606b625ebb635c20b5d69f"")","2021-03-28T11:41:22.000Z","irit2/460/humidity",38,"%r.H.",,"64","auto_ea9c"
"ObjectId(""60606b635ebb635c20b5d6a0"")","2021-03-28T11:41:23.000Z","u4/302/luminosity",994,"lux",100,"ilot1","inside"
"ObjectId(""60606b635ebb635c20b5d6a1"")","2021-03-28T11:41:23.000Z","u4/302/luminosity",77,"lux",105,"ilot2","inside"
"ObjectId(""60606b635ebb635c20b5d6a2"")","2021-03-28T11:41:23.000Z","u4/302/luminosity",187,"lux",110,"ilot3","inside"
"ObjectId(""60606b645ebb635c20b5d6a3"")","2021-03-28T11:41:24.000Z","bu/tour_8etg/temperature",26.5,"celsius",,"31","auto_a13a"
"ObjectId(""60606b645ebb635c20b5d6a4"")","2021-03-28T11:41:24.000Z","bu/tour_8etg/temperature",26.5463,"celsius",,"64","auto_a13a"
"ObjectId(""60606b645ebb635c20b5d6a5"")","2021-03-28T11:41:24.000Z","bu/hall/temperature",19.875,"celsius",,"31","auto_4c24"
"ObjectId(""60606b645ebb635c20b5d6a6"")","2021-03-28T11:41:24.000Z","bu/tour_8etg/humidity",43,"%r.H.",,"64","auto_a13a"
"ObjectId(""60606b665ebb635c20b5d6a7"")","2021-03-28T11:41:26.000Z","irit2/260/temperature",22.75,"celsius",,"31","auto_4c0b"
"ObjectId(""60606b665ebb635c20b5d6a8"")","2021-03-28T11:41:26.000Z","irit2/260/temperature",23.4682,"celsius",,"64","auto_4c0b"
